Idate,Fdate,issuer,Business,SIC,hightec,state,nation,ticker,exchange,industry,bookrunner,managers,grosspread,managementfee,underfee,concession,reallowance,grossspreadP,managementfeeP,underfeeP,concessionP,reallowanceP,grossspreadmkt,principal,principalmkt,proceeds,proceedsmkt,p0,type,description,currency,marketplace,Pexchange,Ph,PL,Pm,sharesF,shareFmkt,amt,Tdamt,IPOflag,shares,Pshares,Sshares,sharesmkt,P_1,P1,spinoff,ownershipB,OwnershipA,Lexchange,ISIN,maintranche,foreignflag,ApsharesFSM,ApsharesF,PsharesFSM,PsharesFM,PsharesOSM,PsharesOM,country,IPO_number,Main_market,year,pshare1,sic1,S1,s2
1996/4/23,1996/4/23,Ritek Corp,"Mnfr,whl storage devices",3572,"Other Peripherals
Disk Drives
",Foreign,Taiwan,2349,Taiwan,Manufacturing,GRAND-CATHAY,Grand Cathay Securities Corp,na,,,,,na,,,,,,12,12,12,12,30,Ord/Common Shs.,"10,415,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,10415000,10415000,                             .,10415000,,,,,,TAIWN,TW0009051789,Y,No,,,,,10415000,10415000,Taiwan,,,1996,10415000,3572,3,35
1996/4/23,1996/4/23,Universal Scientific Indl Co,"Mnfr,whl computer peripheral",3577,Other Peripherals,Foreign,Taiwan,2350,Taiwan,Manufacturing,PRESIDENT-SEC,President Securities Corp,na,,,,,na,,,,,,27,27,27,27,34,Ord/Common Shs.,"21,814,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,21814000,21814000,                             .,21814000,,,,,,TAIWN,TW0002350006,Y,No,,,,,21814000,21814000,Taiwan,,,1996,21814000,3577,3,35
1996/4/25,1996/4/25,SDI Corp,"Mnfr IC lead frame,office prod",3674,Semiconductors,Foreign,Taiwan,2351,Taiwan,Manufacturing,CSCORP,Capital Securities Corp,na,,,,,na,,,,,,13,13,13,13,34,Ord/Common Shs.,"10,200,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,10200000,10200000,                             .,10200000,,,,,,TAIWN,,Y,No,,,,,10200000,10200000,Taiwan,,,1996,10200000,3674,3,36
1996/4/30,1996/4/30,China Glaze Co Ltd,"Mnfr,whl color glaze materials",2816,Primary Business not Hi-Tech,Foreign,Taiwan,1809,Taiwan,Manufacturing,TAIWIS,Taiwan Intl Securities Corp,na,,,,,na,,,,,,21,21,21,21,38,Ord/Common Shs.,"15,272,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,15272000,15272000,                             .,15272000,,,,,,TAIWN,TW0009052597,Y,No,,,,,15272000,15272000,Taiwan,,,1996,15272000,2816,2,28
1996/4/30,1996/4/30,Sunko Ink Co Ltd,"Mnfr,whl chemical prod",2821,Primary Business not Hi-Tech,Foreign,Taiwan,1721,Taiwan,Manufacturing,CONCORD-INTL,Concord International Sec,na,,,,,na,,,,,,10,10,10,10,25,Ord/Common Shs.,"10,626,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,10626000,10626000,                             .,10626000,,,,,,TAIWN,,Y,No,,,,,10626000,10626000,Taiwan,,,1996,10626000,2821,2,28
1996/5/15,1996/5/15,Wan Hai Lines Ltd,Shipping company,4412,Primary Business not Hi-Tech,Foreign,Taiwan,2615,Taiwan,Transportation,TAIWIS,Taiwan Intl Securities Corp,na,,,,,na,,,,,,112,112,113,112,60,Ord/Common Shs.,"51,000,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,51000000,51000000,                             .,51000000,,,,,,TAIWN,TW0009020800,Y,No,,,,,51000000,51000000,Taiwan,,,1996,51000000,4412,4,44
1996/7/1,1996/7/1,Sanayang Industry,Investment company,3711,Primary Business not Hi-Tech,Foreign,Taiwan,SANAY,Taiwan,Manufacturing,CHINA-DEV-HK,China Development Finance (HK),na,,,,,na,,,,,,52,52,52,52,37,Ord/Common Shs.,"38,884,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,38884000,38884000,                             .,38884000,,,,,,TAIWN,,Y,No,,,,,38884000,38884000,Taiwan,,,1996,38884000,3711,3,37
1996/9/1,1996/9/1,Core Pacific Construction Corp,Pvd construction services,1522,Primary Business not Hi-Tech,Foreign,Taiwan,,Taiwan,Construction,CORE-PAC-SEC,Core Pacific Securities Co Ltd,na,,,,,na,,,,,,15,15,15,15,20,Ord/Common Shs.,"20,682,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,20682000,20682000,                             .,20682000,,,,,,TAIWN,,Y,No,,,,,20682000,20682000,Taiwan,,,1996,20682000,1522,1,15
1996/9/16,1996/9/16,Lite-On Technology Corp,"Mnfr,whl optoelectronic prod",3575,"Monitors/Terminals
Other Elect",Foreign,Taiwan,2301,Taiwan,Manufacturing,BZW-HOLDINGS,"Barclays de Zoete Wedd Hldgs
C",0.437,Comb.,Comb.,,,3,Comb.,Comb.,,,2.139,71,71,71,71,15,Ord/Common Shs.,"4,900,000.0 Ord/Common Shs.",US,Euro Public,LONDN,,,,,,,,Yes,4900000,4900000,                             .,4900000,,,,,,LONDN,TW0002346004,Y,No,,,,,4900000,4900000,Taiwan,,,1996,4900000,3575,3,35
1996/10/8,1996/10/8,Shamrock Technology Co Ltd,Mnfr electn computers,3571,"Micro-Computers(PCs)
Mainframe",Foreign,Taiwan,2354,Taiwan,Manufacturing,MASTERLINK-SEC,Masterlink Securities Co,na,,,,,na,,,,,,14,14,14,14,32,Ord/Common Shs.,"11,935,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,11935000,11935000,                             .,11935000,,,,,,TAIWN,,Y,No,,,,,11935000,11935000,Taiwan,,,1996,11935000,3571,3,35
1996/10/14,1996/10/14,Chin-Poon Industrial Co Ltd,Mnfr printed circuit boards,3672,Printed Circuit Boards,Foreign,Taiwan,2355,Taiwan,Manufacturing,TAIWAN-SEC,Taiwan Securities,na,,,,,na,,,,,,13,13,13,13,30,Ord/Common Shs.,"12,210,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,12210000,12210000,                             .,12210000,,,,,,TAIWN,TW0002355005,Y,No,,,,,12210000,12210000,Taiwan,,,1996,12210000,3672,3,36
1996/10/24,1996/10/24,Ta Chen Stainless Pipe Co Ltd,"Mnfr,whl stainless steel prod",3317,Primary Business not Hi-Tech,Foreign,Taiwan,2027,Taiwan,Manufacturing,PRESIDENT-SEC,President Securities Corp,na,,,,,na,,,,,,11,11,11,11,25,Ord/Common Shs.,"12,100,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,12100000,12100000,                             .,12100000,,,,,,TAIWN,,Y,No,,,,,12100000,12100000,Taiwan,,,1996,12100000,3317,3,33
1996/11/14,1996/11/14,Asustek Computer Inc,"Mnfr,whl computer motherboards",3577,"Mainframes & Super Computers
O",Foreign,Taiwan,2357,Taiwan,Manufacturing,GRAND-CATHAY,Grand Cathay Securities Corp,na,,,,,na,,,,,,90,90,90,90,108,Ord/Common Shs.,"23,000,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,23000000,23000000,                             .,23000000,,,,,,TAIWN,,Y,No,,,,,23000000,23000000,Taiwan,,,1996,23000000,3577,3,35
1996/12/5,1996/12/5,Chyang Sheng Dyeing,Mnfr textile products,2269,Primary Business not Hi-Tech,Foreign,Taiwan,,Taiwan,Manufacturing,GRAND-CATHAY,Grand Cathay Securities Corp,na,,,,,na,,,,,,15,15,16,15,24,Ord/Common Shs.,"17,700,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,17700000,17700000,                             .,17700000,,,,,,TAIWN,TW0009059568,Y,No,,,,,17700000,17700000,Taiwan,,,1996,17700000,2269,2,22
1996/12/13,1996/12/13,Wei Chih Steel Industrial,"Mnfr,whl steel prods",3312,Primary Business not Hi-Tech,Foreign,Taiwan,2028,Taiwan,Manufacturing,CHIAO-BK,Chiao Tung Bank,na,,,,,na,,,,,,27,27,27,27,19,Ord/Common Shs.,"39,200,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,39200000,39200000,                             .,39200000,,,,,,TAIWN,TW0009076968,Y,No,,,,,39200000,39200000,Taiwan,,,1996,39200000,3312,3,33
1996/12/19,1996/12/19,Solomon Technology Corp,"Mnfr,wholesale semiconductors",3674,Semiconductors,Foreign,Taiwan,2359,Taiwan,Manufacturing,PRESIDENT-SEC,President Securities Corp,na,,,,,na,,,,,,27,27,27,27,41,Ord/Common Shs.,"18,264,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,18264000,18264000,                             .,18264000,,,,,,TAIWN,,Y,No,,,,,18264000,18264000,Taiwan,,,1996,18264000,3674,3,36
