Idate,Fdate,issuer,Business,SIC,hightec,state,nation,ticker,exchange,industry,bookrunner,managers,grosspread,managementfee,underfee,concession,reallowance,grossspreadP,managementfeeP,underfeeP,concessionP,reallowanceP,grossspreadmkt,principal,principalmkt,proceeds,proceedsmkt,p0,type,description,currency,marketplace,Pexchange,Ph,PL,Pm,sharesF,shareFmkt,amt,Tdamt,IPOflag,shares,Pshares,Sshares,sharesmkt,P_1,P1,spinoff,ownershipB,OwnershipA,Lexchange,ISIN,maintranche,foreignflag,ApsharesFSM,ApsharesF,PsharesFSM,PsharesFM,PsharesOSM,PsharesOM,country,IPO_number,Main_market,year,pshare1,sic1,S1,s2
2002/1/5,2002/1/5,Visual Photonics Epitaxy,Mnfr semiconductors,3674,Semiconductors,Foreign,Taiwan,2455,Taiwan,Manufacturing,ASIA-SEC-TW,"Asia Securities
Taiwan Securit",na,,,,,na,,,,,,5,5,5,5,23,Ord/Common Shs.,"7,790,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"7,790,000","7,790,000",,7790000,2.464,,,,,TAIWN,,Y,No,,,,,"7,790,000","7,790,000",Taiwan,,,2002,7790000,3674,3,36
2002/1/14,2002/1/14,K S Terminals Inc,"Mnfr,whl terminals",3575,Monitors/Terminals,Foreign,Taiwan,3003,Taiwan,Manufacturing,GRAND-CATHAY,"Grand Cathay Securities Corp
O",na,,,,,na,,,,,,10,10,10,10,31,Ord/Common Shs.,"11,631,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"11,631,000","11,631,000",,11631000,2.524,0.944,,,,TAIWN,,Y,No,,,,,"11,631,000","11,631,000",Taiwan,,,2002,11631000,3575,3,35
2002/1/19,2002/1/19,Rechi Precision Co Ltd,Manufacture compressors,3585,Primary Business not Hi-Tech,Foreign,Taiwan,4532,Taiwan,Manufacturing,SINOPS,"SinoPac Securities Co Ltd
Mast",na,,,,,na,,,,,,5,5,5,5,16.8,Ord/Common Shs.,"10,000,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"10,000,000","10,000,000",,10000000,1.03,0.51,,,,TAIWN,TWU00R026007,Y,No,,,,,"10,000,000","10,000,000",Taiwan,,,2002,10000000,3585,3,35
2002/1/24,2002/1/18,Unity Opto Technology Co Ltd,"Mnfr,whl optoelectronic prod",3679,"Other Electronics
Semiconducto",Foreign,Taiwan,2499,Taiwan,Manufacturing,FUBON,"Fubon Securities Co Ltd
Fuh-Hw",na,,,,,na,,,,,,17,17,17,17,39,Ord/Common Shs.,"15,257,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"15,257,000","15,257,000",,15257000,0.396,1.189,,,,TAIWN,TWU00R096000,Y,No,,,,,"15,257,000","15,257,000",Taiwan,,,2002,15257000,3679,3,36
2002/1/28,2002/1/28,Elite Semiconductor Memory,Mnfr semiconductors,3674,Semiconductors,Foreign,Taiwan,3006,Taiwan,Manufacturing,TAIWIS,"Taiwan Intl Securities Corp
Ch",na,,,,,na,,,,,,43,43,43,43,150,Ord/Common Shs.,"10,000,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"10,000,000","10,000,000",,10000000,1.58,4.568,,,,TAIWN,,Y,No,,,,,"10,000,000","10,000,000",Taiwan,,,2002,10000000,3674,3,36
2002/2/22,2002/2/22,Infortrend Technology Inc,Mnfr of RAID controller,3823,Precision/Measuring Test Equip,Foreign,Taiwan,2495,Taiwan,Manufacturing,GRAND-CATHAY,"Grand Cathay Securities Corp
C",na,,,,,na,,,,,,44,44,44,44,102,Ord/Common Shs.,"15,060,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"15,060,000","15,060,000",,15060000,0.469,,,,,TAIWN,TWU00R101008,Y,No,,,,,"15,060,000","15,060,000",Taiwan,,,2002,15060000,3823,3,38
2002/2/22,2002/2/22,Jye Tai Precision Industrial,"Mnfr,whl electronic parts",3699,Other,Foreign,Taiwan,6165,Taiwan,Manufacturing,JIH-SUN-SEC,"Jih Sun Securities Co Ltd
Orie",na,,,,,na,,,,,,6,6,6,6,33,Ord/Common Shs.,"6,180,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"6,180,000","6,180,000",,6180000,1.383,1.006,,,,TAIWN,TWU00R014003,Y,No,,,,,"6,180,000","6,180,000",Taiwan,,,2002,6180000,3699,3,36
2002/2/23,2002/2/23,Harvatek Corp,Mnfr semiconductors,3674,Semiconductors,Foreign,Taiwan,6168,Taiwan,Manufacturing,HUA-NAN-SEC,"Hua Nan Securities Co Ltd
Mast",na,,,,,na,,,,,,5,5,5,5,36,Ord/Common Shs.,"4,869,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"4,869,000","4,869,000",,4869000,0.559,1.098,,,,TAIWN,TWU00R050007,Y,No,,,,,"4,869,000","4,869,000",Taiwan,,,2002,4869000,3674,3,36
2002/2/27,2002/2/27,Adlink Technology Inc,Mnfr embedded computing prod,3577,"Other Electronics
Semiconducto",Foreign,Taiwan,6166,Taiwan,Manufacturing,TAIWAN-SEC,"Taiwan Securities
ChinaTrust S",na,,,,,na,,,,,,4,4,4,4,55,Ord/Common Shs.,"2,630,000.0 Ord/Common Shs.",TW,Taiwan Public,TOTC,,,,,,,,Yes,"2,630,000","2,630,000",,2630000,2.235,1.671,,,,TOTC,TWU00R019002,Y,No,,,,,"2,630,000","2,630,000",Taiwan,,,2002,2630000,3577,3,35
2002/2/27,2002/2/27,Chong Hong Construction Co Ltd,Construction company,1522,Primary Business not Hi-Tech,Foreign,Taiwan,5534,Taiwan,Construction,TAIWIS,"Taiwan Intl Securities Corp
Po",na,,,,,na,,,,,,3,3,3,3,12,Ord/Common Shs.,"7,986,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"7,986,000","7,986,000",,7986000,2.583,0.365,,,,TAIWN,,Y,No,,,,,"7,986,000","7,986,000",Taiwan,,,2002,7986000,1522,1,15
2002/3/18,2002/3/18,Billionton Systems Inc,Mnfr semiconductors,3674,Semiconductors,Foreign,Taiwan,6172,Taiwan,Manufacturing,KGI-SEC-TW,"KGI Securities (Taiwan)
First",na,,,,,na,,,,,,2,2,2,2,23,Ord/Common Shs.,"3,443,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"3,443,000","3,443,000",,3443000,0.342,,,,,TAIWN,TWU00R062002,Y,No,,,,,"3,443,000","3,443,000",Taiwan,,,2002,3443000,3674,3,36
2002/7/31,2002/7/31,Quanta Display Inc,Mnfr computer terminals,3663,Monitors/Terminals,Foreign,Taiwan,3012,Taiwan,Manufacturing,BARSEC,"Barits Securities
China United",na,,,,,na,,,,,,14,14,14,14,25,Ord/Common Shs.,"19,500,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"19,500,000","19,500,000",,19500000,,0.73,,,,TAIWN,TWU00R171001,Y,No,,,,,"19,500,000","19,500,000",Taiwan,,,2002,19500000,3663,3,36
2002/8/18,2002/8/18,Promate Electronic Co Ltd,"Mnfr,whl electn components",3674,"Semiconductors
Other Electroni",Foreign,Taiwan,6189,Taiwan,Manufacturing,TAIWAN-SEC,"Taiwan Securities
SinoPac Secu",na,,,,,na,,,,,,5,5,5,5,45,Ord/Common Shs.,"3,818,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"3,818,000","3,818,000",,3818000,0.924,1.4,,,,TAIWN,TWU00R112005,Y,No,,,,,"3,818,000","3,818,000",Taiwan,,,2002,3818000,3674,3,36
2002/8/19,2002/8/19,UNEEC,Mnfr plastic computer casing,3089,Primary Business not Hi-Tech,Foreign,Taiwan,3013,Taiwan,Manufacturing,CHINATRUST-COMM,"Chinatrust Commercial Bank
Pol",na,,,,,na,,,,,,17,17,17,17,35,Ord/Common Shs.,"16,800,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"16,800,000","16,800,000",,16800000,0.66,1.018,,,,TAIWN,TWU00R120008,Y,No,,,,,"16,800,000","16,800,000",Taiwan,,,2002,16800000,3089,3,30
2002/9/2,2002/9/2,Sintek Photronic Corp,"Mnfr,whl color filter prod",3671,"Semiconductors
Other Electroni",Foreign,Taiwan,3049,Taiwan,Manufacturing,YUANTA-CORE,"Yuanta-Corepacific Securities
",na,,,,,na,,,,,,15,15,15,15,28,Ord/Common Shs.,"18,000,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"18,000,000","18,000,000",,18000000,0.348,0.745,,,,TAIWN,TWU00R018004,Y,No,,,,,"18,000,000","18,000,000",Taiwan,,,2002,18000000,3671,3,36
2002/9/16,2002/9/16,Marketech International Corp,Mnfr semiconductor devices,3674,Semiconductors,Foreign,Taiwan,6196,Taiwan,Manufacturing,GRAND-CATHAY,"Grand Cathay Securities Corp
C",na,,,,,na,,,,,,19,19,19,19,105,Ord/Common Shs.,"6,121,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"6,121,000","6,121,000",,6121000,1.31,3.18,,,,TAIWN,TWU00R110009,Y,No,,,,,"6,121,000","6,121,000",Taiwan,,,2002,6121000,3674,3,36
2002/9/17,2002/9/17,SPI Electronic Co Ltd,Mnfr electronic components,3679,Primary Business not Hi-Tech,Foreign,Taiwan,3015,Taiwan,Manufacturing,BARITSH,"Barits Securities (Hong Kong)
",na,,,,,na,,,,,,12,12,12,12,63,Ord/Common Shs.,"6,400,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"6,400,000","6,400,000",,6400000,0.788,,,,,TAIWN,TWU00R131005,Y,No,,,,,"6,400,000","6,400,000",Taiwan,,,2002,6400000,3679,3,36
2002/9/25,2002/9/25,Chiu Ting Machinery Co,Mnfr carpentry equipment,3545,Primary Business not Hi-Tech,Foreign,Taiwan,1539,Taiwan,Manufacturing,ORISEC,Oriental Securities Corp,na,,,,,na,,,,,,2,2,2,2,16.5,Ord/Common Shs.,"4,200,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"4,200,000","4,200,000",,4200000,0.733,0.521,,,,TAIWN,TW0004531009,Y,No,,,,,"4,200,000","4,200,000",Taiwan,,,2002,4200000,3545,3,35
2002/9/28,2002/9/28,U-Tech Media Corp,Mnfr compact discs,3652,Primary Business not Hi-Tech,Foreign,Taiwan,3050,Taiwan,Manufacturing,YUANTA-CORE,"Yuanta-Corepacific Securities
",na,,,,,na,,,,,,16,16,16,16,42,Ord/Common Shs.,"12,900,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"12,900,000","12,900,000",,12900000,0.38,1.285,,,,TAIWN,TWU00R129009,Y,No,,,,,"12,900,000","12,900,000",Taiwan,,,2002,12900000,3652,3,36
2002/9/29,2002/9/29,ITE Technology Inc,"Mnfr,whl integrated circuits",3672,"Semiconductors
Other Electroni",Foreign,Taiwan,3014,Taiwan,Manufacturing,JIH-SUN-SEC,"Jih Sun Securities Co Ltd
Farm",na,,,,,na,,,,,,7,7,7,7,24.5,Ord/Common Shs.,"9,310,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"9,310,000","9,310,000",,9310000,1.202,0.75,,,,TAIWN,,Y,No,,,,,"9,310,000","9,310,000",Taiwan,,,2002,9310000,3672,3,36
2002/9/30,2002/9/30,Optimax Technology Corp,"Mnfr,whl polarizer",3826,Primary Business not Hi-Tech,Foreign,Taiwan,3051,Taiwan,Manufacturing,YUANTA-CORE,"Yuanta-Corepacific Securities
",na,,,,,na,,,,,,18,18,18,18,43,Ord/Common Shs.,"14,368,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"14,368,000","14,368,000",,14368000,0.141,1.151,,,,TAIWN,TWU00R165003,Y,No,,,,,"14,368,000","14,368,000",Taiwan,,,2002,14368000,3826,3,38
2002/9/30,2002/9/30,Test Research Inc,"Mnfr,whl semiconductor",3674,"Semiconductors
Other Electroni",Foreign,Taiwan,3030,Taiwan,Manufacturing,GRAND-CATHAY,"Grand Cathay Securities Corp
I",na,,,,,na,,,,,,3,3,3,3,30,Ord/Common Shs.,"2,930,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"2,930,000","2,930,000",,2930000,1.365,0.898,,,,TAIWN,TW0005496004,Y,No,,,,,"2,930,000","2,930,000",Taiwan,,,2002,2930000,3674,3,36
2002/10/1,2002/10/1,Holtek Semiconductor Inc,Mnfr semiconductors,3674,Semiconductors,Foreign,Taiwan,6202,Taiwan,Manufacturing,MASTERLINK-SEC,"Masterlink Securities Co
Presi",na,,,,,na,,,,,,8,8,8,8,28,Ord/Common Shs.,"9,500,000.0 Ord/Common Shs.",TW,Taiwan Public,TOTC,,,,,,,,Yes,"9,500,000","9,500,000",,9500000,2.646,0.804,,,,TOTC,TWU00R127003,Y,No,,,,,"9,500,000","9,500,000",Taiwan,,,2002,9500000,3674,3,36
2002/10/21,2002/10/21,Carry Computer Eng Co Ltd,Mnfr electronic components,3679,Primary Business not Hi-Tech,Foreign,Taiwan,3054,Taiwan,Manufacturing,GRAND-CATHAY,"Grand Cathay Securities Corp
P",na,,,,,na,,,,,,6,6,6,6,78,Ord/Common Shs.,"2,590,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"2,590,000","2,590,000",,2590000,0.62,2.389,,,,TAIWN,TWU00R170003,Y,No,,,,,"2,590,000","2,590,000",Taiwan,,,2002,2590000,3679,3,36
2002/11/12,2002/11/12,Leader Electronics Inc,"Mnfr,whl power transformers",3612,Primary Business not Hi-Tech,Foreign,Taiwan,3058,Taiwan,Manufacturing,BARSEC,"Barits Securities
Oriental Sec",na,,,,,na,,,,,,13,13,13,13,28,Ord/Common Shs.,"15,683,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"15,683,000","15,683,000",,15683000,0.33,,,,,TAIWN,TWU00R068009,Y,No,,,,,"15,683,000","15,683,000",Taiwan,,,2002,15683000,3612,3,36
2002/11/19,2002/11/19,Promise Technology Inc,"Manufacture,wholesale disk",3577,Other Peripherals,Foreign,Taiwan,3057,Taiwan,Manufacturing,YUANTA-CORE,"Yuanta-Corepacific Securities
",na,,,,,na,,,,,,15,15,15,15,79,Ord/Common Shs.,"6,453,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"6,453,000","6,453,000",,6453000,0.401,2.107,,,,TAIWN,TWU00R145005,Y,No,,,,,"6,453,000","6,453,000",Taiwan,,,2002,6453000,3577,3,35
2002/11/19,2002/11/19,Spirox Corp,"Mnfr,whl semiconductors",3674,Semiconductors,Foreign,Taiwan,3055,Taiwan,Manufacturing,BARSEC,"Barits Securities
Oriental Sec",na,,,,,na,,,,,,10,10,10,10,35,Ord/Common Shs.,"9,753,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"9,753,000","9,753,000",,9753000,0.668,37.4,,,,TAIWN,TWU00R177008,Y,No,,,,,"9,753,000","9,753,000",Taiwan,,,2002,9753000,3674,3,36
2002/11/23,2002/11/23,Precision Silicon Corp,"Mnfr,whl semiconductors",3674,Semiconductors,Foreign,Taiwan,3016,Taiwan,Manufacturing,CHINATRUST-SEC,"ChinaTrust Securities
Polaris",na,,,,,na,,,,,,6,6,6,6,18,Ord/Common Shs.,"11,500,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"11,500,000","11,500,000",,11500000,1.005,0.481,,,,TAIWN,TWU00R154007,Y,No,,,,,"11,500,000","11,500,000",Taiwan,,,2002,11500000,3674,3,36
2002/11/25,2002/11/25,Altek Corp,Mnfr digital cameras,3861,Data Commun(Exclude networking,Foreign,Taiwan,3059,Taiwan,Manufacturing,SINOPS,"SinoPac Securities Co Ltd
Pola",na,,,,,na,,,,,,24,24,24,24,76,Ord/Common Shs.,"11,050,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"11,050,000","11,050,000",,11050000,0.947,2.321,,,,TAIWN,TWU00R179004,Y,No,,,,,"11,050,000","11,050,000",Taiwan,,,2002,11050000,3861,3,38
2002/12/1,2002/12/1,Kinko Optical Co Ltd,Mnfr optical lenses,3827,Primary Business not Hi-Tech,Foreign,Taiwan,6209,Taiwan,Manufacturing,TAIWIS,"Taiwan Intl Securities Corp
Ba",na,,,,,na,,,,,,10,10,10,10,85,Ord/Common Shs.,"4,010,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"4,010,000","4,010,000",,4010000,1.449,2.589,,,,TAIWN,TWU00R114001,Y,No,,,,,"4,010,000","4,010,000",Taiwan,,,2002,4010000,3827,3,38
2002/12/9,2002/12/9,Johnson Health Tech Co Ltd,Biotechnology company,2836,"Other Biotechnology
Research &",Foreign,Taiwan,1736,Taiwan,Manufacturing,TAIWAN-SEC,"Taiwan Securities
Polaris Secu",na,,,,,na,,,,,,15,15,15,15,81,Ord/Common Shs.,"6,340,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"6,340,000","6,340,000",,6340000,1.103,2.321,,,,TAIWN,TWU00R408007,Y,No,,,,,"6,340,000","6,340,000",Taiwan,,,2002,6340000,2836,2,28
2002/12/23,2002/12/23,Makalot Industrial Co Ltd,Mnfr apparel,2253,Primary Business not Hi-Tech,Foreign,Taiwan,1477,Taiwan,Manufacturing,GRAND-CATHAY,"Grand Cathay Securities Corp
M",na,,,,,na,,,,,,9,9,9,9,45,Ord/Common Shs.,"7,294,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"7,294,000","7,294,000",,7294000,4.609,1.387,,,,TAIWN,TWU00R917007,Y,No,,,,,"7,294,000","7,294,000",Taiwan,,,2002,7294000,2253,2,22
2003/2/12,2003/2/12,Waffer Technology Corp,"Mnfr,whl metal mold",3567,Primary Business not Hi-Tech,Foreign,Taiwan,6235,Taiwan,Manufacturing,POLASE,"Polaris Securities Ltd
First T",na,,,,,na,,,,,,9,9,9,9,33,Ord/Common Shs.,"9,100,000.0 Ord/Common Shs.",TW,Taiwan Public,TOTC,,,,,,,,Yes,"9,100,000","9,100,000",,9100000,0.585,1.016,,,,TOTC,TWU00R189003,Y,No,,,,,"9,100,000","9,100,000",Taiwan,,,2003,9100000,3567,3,35
2003/3/22,2003/3/22,Min Aik Technology Co Ltd,"Mnfr,whl hard disk drive",3469,"Other Peripherals
Disk Drives",Foreign,Taiwan,3060,Taiwan,Manufacturing,TAIWIS,"Taiwan Intl Securities Corp
Ma",na,,,,,na,,,,,,16,16,16,16,36,Ord/Common Shs.,"15,090,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"15,090,000","15,090,000",,15090000,0.932,1.106,,,,TAIWN,TWU00R186009,Y,No,,,,,"15,090,000","15,090,000",Taiwan,,,2003,15090000,3469,3,34
2003/6/27,2003/6/27,CyberTAN Technology Inc,Mnfr broadband equip,3674,"Workstations
Turnkey Systems
N",Foreign,Taiwan,3062,Taiwan,Manufacturing,YUANTA-CORE,"Yuanta-Corepacific Securities
",na,,,,,na,,,,,,22,22,22,22,55,Ord/Common Shs.,"13,686,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"13,686,000","13,686,000",,13686000,0.615,1.701,,,,TAIWN,TW0003062006,Y,No,,,,,"13,686,000","13,686,000",Taiwan,,,2003,13686000,3674,3,36
2003/7/21,2003/7/21,Wistron Corp,Mnfr computer;dvlp software,3571,"Micro-Computers(PCs)
Applicati",Foreign,Taiwan,3231,Taiwan,Manufacturing,GRAND-CATHAY,"Grand Cathay Securities Corp
I",na,,,,,na,,,,,,19,19,19,19,32,Ord/Common Shs.,"20,000,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"20,000,000","20,000,000",,20000000,0.874,0.996,,,,TAIWN,,Y,No,,,,,"20,000,000","20,000,000",Taiwan,,,2003,20000000,3571,3,35
2003/7/23,2003/7/23,Sigurd Microelectronics Corp,Mnfr semiconductors,3674,Semiconductors,Foreign,Taiwan,6257,Taiwan,Manufacturing,GRAND-CATHAY,"Grand Cathay Securities Corp
I",na,,,,,na,,,,,,8,8,8,8,31,Ord/Common Shs.,"8,610,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"8,610,000","8,610,000",,8610000,0.914,0.969,,,,TAIWN,TW0006257009,Y,No,,,,,"8,610,000","8,610,000",Taiwan,,,2003,8610000,3674,3,36
2003/7/30,2003/7/30,Arima Optoelectronics Corp,Mnfr semiconductors,3674,Semiconductors,Foreign,Taiwan,6289,Taiwan,Manufacturing,GRAND-CATHAY,"Grand Cathay Securities Corp
F",na,,,,,na,,,,,,13,13,13,13,36,Ord/Common Shs.,"12,750,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"12,750,000","12,750,000",,12750000,0.094,1.125,,,,TAIWN,TW0006289002,Y,No,,,,,"12,750,000","12,750,000",Taiwan,,,2003,12750000,3674,3,36
2003/8/10,2003/8/10,Acbel Polytech Inc,Mnfr semiconductors,3674,Semiconductors,Foreign,Taiwan,6282,Taiwan,Manufacturing,PRESIDENT-SEC,"President Securities Corp
Farm",na,,,,,na,,,,,,21,21,21,21,37.5,Ord/Common Shs.,"19,500,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"19,500,000","19,500,000",,19500000,0.764,1.022,,,,TAIWN,TWU00R232001,Y,No,,,,,"19,500,000","19,500,000",Taiwan,,,2003,19500000,3674,3,36
2003/8/11,2003/8/11,Intl Semiconductor Tech Ltd,"Mnfr,whl electn components",3679,"Other Electronics
Other Teleco",Foreign,Taiwan,3063,Taiwan,Manufacturing,YUANTA-CORE,"Yuanta-Corepacific Securities
",na,,,,,na,,,,,,16,16,16,16,28,Ord/Common Shs.,"19,500,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"19,500,000","19,500,000",,19500000,,0.765,,,,TAIWN,,Y,No,,,,,"19,500,000","19,500,000",Taiwan,,,2003,19500000,3679,3,36
2003/8/21,2003/8/21,Wistron Neweb Corp,"Mnfr,whl commun equip,prod",3663,Data Commun(Exclude networking,Foreign,Taiwan,6285,Taiwan,Manufacturing,HUA-NAN-SEC,"Hua Nan Securities Co Ltd
Gran",na,,,,,na,,,,,,29,29,29,29,138,Ord/Common Shs.,"7,300,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"7,300,000","7,300,000",,7300000,2.898,4.363,,,,TAIWN,TW0006285000,Y,No,,,,,"7,300,000","7,300,000",Taiwan,,,2003,7300000,3663,3,36
2003/8/24,2003/8/24,Flexium Interconnect Inc,"Mnfr,whl printed circuit board",3672,Printed Circuit Boards,Foreign,Taiwan,6269,Taiwan,Manufacturing,YUANTA-CORE,"Yuanta-Corepacific Securities
",na,,,,,na,,,,,,5,5,5,5,28,Ord/Common Shs.,"6,500,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"6,500,000","6,500,000",,6500000,3.963,0.886,,,,TAIWN,TW0006269004,Y,No,,,,,"6,500,000","6,500,000",Taiwan,,,2003,6500000,3672,3,36
2003/9/20,2003/9/20,Plotech Co Ltd,Mnfr semiconductors,3674,Semiconductors,Foreign,Taiwan,6141,Taiwan,Manufacturing,TAIWIS,"Taiwan Intl Securities Corp
IB",na,,,,,na,,,,,,4,4,4,4,51.5,Ord/Common Shs.,"2,663,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"2,663,000","2,663,000",,2663000,0.604,1.484,,,,TAIWN,,Y,No,,,,,"2,663,000","2,663,000",Taiwan,,,2003,2663000,3674,3,36
2003/9/23,2003/9/23,Taiwan Salt Co,Produce table salt,2899,Primary Business not Hi-Tech,Foreign,Taiwan,1737,Taiwan,Manufacturing,TAIWAN-SEC,"Taiwan Securities
Land Bank of",na,,,,,na,,,,,,71,71,71,71,19.28,Ord/Common Shs.,"125,000,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"125,000,000","125,000,000",,125000000,0.937,0.605,,,,TAIWN,,Y,No,,,,,"125,000,000","125,000,000",Taiwan,,,2003,125000000,2899,2,28
2003/9/24,2003/9/24,Honey Hope Honesty Enterprise,Mnfr semiconductors,3674,Semiconductors,Foreign,Taiwan,8043,Taiwan,Manufacturing,GRAND-CATHAY,"Grand Cathay Securities Corp
P",na,,,,,na,,,,,,2,2,2,2,58,Ord/Common Shs.,"873,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"873,000","873,000",,873000,0.658,1.808,,,,TAIWN,TW0008043001,Y,No,,,,,"873,000","873,000",Taiwan,,,2003,873000,3674,3,36
2003/9/29,2003/9/29,Aten International Co Ltd,Mnfr semiconductors,3674,Semiconductors,Foreign,Taiwan,6277,Taiwan,Manufacturing,GRAND-CATHAY,"Grand Cathay Securities Corp
P",na,,,,,na,,,,,,6,6,6,6,110,Ord/Common Shs.,"1,703,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"1,703,000","1,703,000",,1703000,2.59,3.023,,,,TAIWN,TW0006277007,Y,No,,,,,"1,703,000","1,703,000",Taiwan,,,2003,1703000,3674,3,36
2003/10/19,2003/10/19,Boser Technology Co Ltd,"Mnfr,whl semiconductors",3674,"Semiconductors
Other Periphera",Foreign,Taiwan,3069,Taiwan,Manufacturing,TAIWIS,"Taiwan Intl Securities Corp
Po",na,,,,,na,,,,,,2,2,2,2,30,Ord/Common Shs.,"1,730,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"1,730,000","1,730,000",,1730000,,0.943,,,,TAIWN,TW0003069001,Y,No,,,,,"1,730,000","1,730,000",Taiwan,,,2003,1730000,3674,3,36
2003/10/27,2003/10/27,Axis Corp,"Mnfr,whl coils,transformers",3612,"Semiconductors
Superconductors",Foreign,Taiwan,6292,Taiwan,Manufacturing,SINOPAC-SEC,"SinoPac Securities Corp
E Sun",na,,,,,na,,,,,,1,1,1,1,46,Ord/Common Shs.,"1,040,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"1,040,000","1,040,000",,1040000,1.094,1.314,,,,TAIWN,TW0006292006,Y,No,,,,,"1,040,000","1,040,000",Taiwan,,,2003,1040000,3612,3,36
2003/10/28,2003/10/28,AV Tech Corp,Mnfr semiconductors,3674,Semiconductors,Foreign,Taiwan,8072,Taiwan,Manufacturing,CHINATRUST-SEC,"ChinaTrust Securities
Reliance",na,,,,,na,,,,,,9,9,9,9,140,Ord/Common Shs.,"2,184,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"2,184,000","2,184,000",,2184000,0.749,4.375,,,,TAIWN,TW0008072000,Y,No,,,,,"2,184,000","2,184,000",Taiwan,,,2003,2184000,3674,3,36
