issuer,Idate,Fdate,ISIN,ticker,SIC,LCS Key,LevDis Key,LCS,LevDis Value,LCS Value,Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
Chanjet Information Technology,2014/6/23,2014/6/16,CNE100001SQ1,1588,7372,Chanjet Information Technology,3,chneinformat,3,China E-Information Technology Group,China E-Information Technology Group,CHINA E-INFO.TECH.GP.,K:PSTK,2001/12/5,14846M,HK8055,KYG2157K1132
Shanghai Haohai Biological,2015/4/23,2015/4/20,CNE100001W69,6826,2836,Shanghai Haohai Biological,3,shanghaihaha,3,Shanghai International Shanghai Growth,Shanghai International Shanghai Growth,SHANGHAI INTL. SHAI. GW.,53543U,2008/6/12,53543U,NA,NA
Universal Med Finl & Technical,2015/7/7,2015/6/22,HK0000255361,2666,8099,Universal Med Finl & Technical,2,universalmedi,2,Universal Medical Financial and Technology Advisory Services,Universal Medical Financial and Technology Advisory Services,UNVL.MED.FINL.& TECH. ADVY.SVS.,K:UMFT,2015/7/8,9742L3,HK2666,HK0000255361
Team Concepts(Holdings)Ltd,1991/1/28,1991/1/28,BMG7829D1083,TCHH,3944,Team Concepts(Holdings)Ltd,3,eaconcepts,2,Easy Concepts International Holdings,Easy Concepts International Holdings,EASY CONCEPTS INTL.HDG.,K:EACN,1998/6/9,675555,NA,NA
International Pipe Ltd(K Wah),1991/9/13,1991/9/13,XC0008855774,INPL/,3312,International Pipe Ltd(K Wah),1,internationali,1,International City Holdings,International City Holdings,INTL.CITY HDG.,997493,1981/6/15,997493,NA,NA
Ocean Information Hldgs Ltd,1992/3/30,1992/3/30,BMG186891104,497,3571,Ocean Information Hldgs Ltd,3,cninformatio,3,China Information Technology Development,China Information Technology Development,CHINA INFO.TECH.DEV.,K:XTMS,2001/12/11,14858C,HK8178,KYG215501274
Welback Holdings Ltd,1992/5/22,1992/5/22,BMG9525C1038,491,3944,Welback Holdings Ltd,3,welck,3,Wheelock and Company,Wheelock and Company,WHEELOCK AND CO.,K:WHEL,1973/1/1,916504,HK20,HK0020000177
Eu Yan Sang (Hong Kong) Ltd,1992/8/4,1992/8/4,XC0008855592,EUYS,2834,Eu Yan Sang (Hong Kong) Ltd,0,euyansang,1,EU Yang Sang (Hong Kong),EU Yang Sang (Hong Kong),EU YANG SANG (HKG),K:EYSD,1992/8/19,316073,NA,NA
Chung Tai Printing Holdings,1992/8/24,1992/8/24,,55,2752,Chung Tai Printing Holdings,3,hungiprintin,3,Hung Hing Printing Group,Hung Hing Printing Group,HUNG HING PRINT.GP.,K:HUNG,1992/3/16,315591,HK450,HK0450001869
China Travel Intl Invest HK,1992/10/27,1992/10/27,XC0008882638,308,4725,China Travel Intl Invest HK,3,chinatraline,3,China Tradl Chinese Medicine,China Tradl Chinese Medicine,CHINA TRADL.CHS.MDCIN.,K:WISH,1993/4/7,316811,HK570,HK0000056256
Lamex Holdings Ltd,1992/11/10,1992/11/10,,312,2599,Lamex Holdings Ltd,1,lamex,1,Lamtex Holdings,Lamtex Holdings,LAMTEX HOLDINGS,K:TAFU,1996/12/27,887649,HK1041,BMG5423H1034
Fortei Holdings Ltd,1993/6/22,1993/6/22,BMG363891075,79,3949,Fortei Holdings Ltd,1,fortis,3,CCT Fortis Holdings,CCT Fortis Holdings,CCT FORTIS HOLDINGS,K:DKIN,1991/11/11,315113,HK138,BMG1987Y1030
Stone Electronic Tech Ltd,1993/7/30,1993/7/30,XC0008881432,409,3575,Stone Electronic Tech Ltd,2,tonelectronic,2,Tonly Electronics Holdings,Tonly Electronics Holdings,TONLY ELECTRONICS HDG.,K:TEHL,2013/8/15,89514N,HK1249,KYG8918Q1257
Companion Bldg Material(Hldg),1993/9/2,1993/9/2,BMG232711108,432,3253,Companion Bldg Material(Hldg),3,companionbld,3,Companion Building Materials,Companion Building Materials,COMPANION BLDG.MATS.,27580E,2003/9/12,27580E,NA,NA
GITIC Enterprises Ltd,1997/3/14,1997/3/14,BMG3899Q1033,340,1522,GITIC Enterprises Ltd,3,iienterprise,3,Lai SI Enterprise,Lai SI Enterprise,LAI SI ENTERPRISE,K:LASI,2017/2/10,9016FJ,HK2266,KYG5352A1031
Proview Intl Hldg Ltd,1997/6/4,1997/6/4,,334,3577,Proview Intl Hldg Ltd,1,prview,3,Primeview Holdings,Primeview Holdings,PRIMEVIEW HDG.,K:ARTI,2008/5/16,51973M,HK789,BMG7254F1077
City Telecom(HK)Ltd,1997/7/22,1997/7/22,,1137,4812,City Telecom(HK)Ltd,3,cittelecom,2,Citic Telecom International Holdings,Citic Telecom International Holdings,CITIC TELC.INTL.HDG.,K:CTIC,2007/4/3,50287W,HK1883,HK1883037637
Argos Enterprise(Holdings)Ltd,2001/7/31,2001/7/31,,8022,4111,Argos Enterprise(Holdings)Ltd,3,aoenterprise,3,Hanbo Enterprises Holdings,Hanbo Enterprises Holdings,HANBO ENTERPRISES HDG.,K:HANB,2014/7/11,8933M7,HK1367,KYG4288H1002
Tak Shun Technology Group Ltd,2001/9/6,2001/9/6,,1228,5044,Tak Shun Technology Group Ltd,2,ashun,1,PA Shun International Holdings,PA Shun International Holdings,PA SHUN INTL. HDG.,K:PSPS,2015/6/19,9537C1,HK574,KYG693781000
