issuer,Idate,Fdate,ISIN,ticker,SIC,LCS Key,LevDis Key,LCS,LevDis Value,LCS Value,Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
Hanny Magnetics Holdings Ltd,1991/12/3,1991/12/3,BMG4279T1707,275,3572,Hanny Magnetics Holdings Ltd,7,hnagtics,7,China Logistics Property Holdings,China Logistics Property Holdings,CHINA LOGIST.PR.HDG.,K:CLPH,2016/7/15,7720FV,HK1589,KYG212091048
S Megga Intl Hldgs Ltd,1991/12/10,1991/12/10,BMG8226F1005,261,4813,S Megga Intl Hldgs Ltd,1,seggas,9,Shengli Oil and Gas Pipe Holdings,Shengli Oil and Gas Pipe Holdings,SHENGLI OIL & GAS PIPE HDG.,K:ONGP,2009/12/18,68506W,HK1080,KYG811661035
Silver Eagle Holdings Ltd,1992/1/7,1992/1/7,BMG2607Q1087,SLVE/,3577,Silver Eagle Holdings Ltd,3,lvereales,6,Lvgem (China) Real Estate Investment,Lvgem (China) Real Estate Investment,LVGEM (CHINA) REIT.,K:NHER,2005/12/2,32361K,HK95,KYG5727E1035
Shun Shing Holdings Ltd,1992/1/21,1992/1/21,,517,3731,Shun Shing Holdings Ltd,2,hunshing,7,Chu Kong Shipping Enterprises (Group),Chu Kong Shipping Enterprises (Group),CHU KONG SHIP.ENTS.(GP.),K:CKS,1997/5/23,890528,HK560,HK0560006634
Hoi Sing Holdings Ltd,1992/1/28,1992/1/28,BMG4975T1027,904,1629,Hoi Sing Holdings Ltd,1,hisings,8,China Singyes New Materials Holdings,China Singyes New Materials Holdings,CHINA SINGYES NEW MATS. HDG.,K:CSYN,2017/7/21,91114A,HK8073,BMG215971026
Climax International Co Ltd,1992/2/25,1992/2/25,BMG2203K1099,439,5065,Climax International Co Ltd,1,clima,8,TCL Multimedia Technology Holdings,TCL Multimedia Technology Holdings,TCL MLTM.TECH.HDG.,K:TCLI,1999/11/26,691934,HK1070,KYG8701T1388
Same Time Holdings Ltd,1992/3/10,1992/3/10,BMG7782E1434,451,3672,Same Time Holdings Ltd,2,saeties,8,Star Properties Group (Cayman Islands),Star Properties Group (Cayman Islands),STAR PROPS.GP.(CYISL.),K:STPR,2016/7/13,7720FW,HK1560,KYG844701063
Topstyle International Hldgs,1992/3/24,1992/3/24,KYG8943H1083,467,2331,Topstyle International Hldgs,3,toptes,9,Star Properties Group (Cayman Islands),Star Properties Group (Cayman Islands),STAR PROPS.GP.(CYISL.),K:STPR,2016/7/13,7720FW,HK1560,KYG844701063
Capital Automation Hldgs Ltd,1992/3/31,1992/3/31,,493,3577,Capital Automation Hldgs Ltd,4,ciaautomati,4,China Automation Group,China Automation Group,CHINA AUTOMATION GROUP,K:CAUG,2007/7/12,50759Q,HK569,KYG2112N1117
BALtrans Holdings Ltd,1992/4/13,1992/4/13,,562,4731,BALtrans Holdings Ltd,1,baltrans,7,BII Railway Transportation Technology,BII Railway Transportation Technology,BII RY.TRSP.TECH.,K:CCRT,2012/5/16,87113E,HK1522,KYG1267V1005
Mansion Holdings Ltd,1992/6/19,1992/6/19,BMG5796K1210,547,1796,Mansion Holdings Ltd,1,mansion,5,Milan Station Holdings,Milan Station Holdings,MILAN STATION HOLDINGS,K:MSHL,2011/5/23,77103J,HK1150,KYG611701098
Winton Holdings(Bermuda)Ltd,1992/7/28,1992/7/28,,510,7359,Winton Holdings(Bermuda)Ltd,6,nbermuda,6,Lung Kee (Bermuda) Holdings,Lung Kee (Bermuda) Holdings,LUNG KEE (BERMUDA) HDG.,K:LUNG,1993/3/5,316659,HK255,BMG5697D1011
Indesen Industries Co Ltd,1992/8/3,1992/8/3,XC0008855741,351,3695,Indesen Industries Co Ltd,4,eenindustri,4,Yue Yuen Industrial Holdings,Yue Yuen Industrial Holdings,YUE YUEN INDL.HDG.,K:YUEN,1992/7/2,315775,HK551,BMG988031446
SiS International Holdings Ltd,1992/8/4,1992/8/4,,529,3577,SiS International Holdings Ltd,0,siss,11,Sinotrans Shipping,Sinotrans Shipping,SINOTRANS SHIPPING,K:SINT,2007/11/23,51283T,HK368,HK0368041528
Wai Kee Holdings Ltd,1992/8/13,1992/8/13,,610,1522,Wai Kee Holdings Ltd,1,waikee,9,Chow Tai Fook Jewellery Group,Chow Tai Fook Jewellery Group,CHOW TAI FOOK JEWELLERY GP.,K:CTFJ,2011/12/15,86521D,HK1929,KYG211461085
Pam & Frank Intl Hldgs Ltd,1992/9/1,1992/9/1,BMG6881K1099,431,5023,Pam & Frank Intl Hldgs Ltd,3,amrans,9,China Merchants Port Holdings,China Merchants Port Holdings,CHINA MRCH.POR.HDG.,K:HAIH,1992/7/15,315805,HK144,HK0144000764
Ngai Lik Indl Hldg Ltd,1992/9/8,1992/9/8,BMG6503D1039,332,3651,Ngai Lik Indl Hldg Ltd,4,ngaiind,8,Shanghai Industrial Holdings,Shanghai Industrial Holdings,SHANGHAI INDL.HDG.,K:SIND,1996/5/30,865606,HK363,HK0363006039
Sharp Brave Holdings,1992/9/15,1992/9/15,BMG110461024,SPBW,3679,Sharp Brave Holdings,4,sarpres,8,Star Properties Group (Cayman Islands),Star Properties Group (Cayman Islands),STAR PROPS.GP.(CYISL.),K:STPR,2016/7/13,7720FW,HK1560,KYG844701063
