issuer,Idate,Fdate,ISIN,ticker,SIC,LCS Key,LevDis Key,LCS,LevDis Value,LCS Value,Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
Core Pacific Construction Corp,1996/9/1,1996/9/1,,,1522,Core Pacific Construction Corp,3,corepacifics,3,Core Pacific Securities,Core Pacific Securities,CORE PACIFIC SECS.,TW:CPS,1996/4/8,887874,T6013,TW0006013006
Lee-Tah Farm Industries Co,1998/5/8,1998/5/8,TW0001226009,LEETAH,5191,Lee-Tah Farm Industries Co,1,leetahfarmindu,1,Lee Tah Farm Industries,Lee Tah Farm Industries,LEE TAH FARM INDS.,TW:LTF,1993/12/10,356846,T8724,TW0008724006
ZyXEL Communications Corp,1998/8/4,1998/8/4,,2391,3663,ZyXEL Communications Corp,3,elcommunicat,3,Well Communication,Well Communication,WELL COMMUNICATION,TW:WEL,2001/3/9,256990,T3039,TW0003039004
Chang Ho Fibre Corp,1999/8/26,1999/8/26,TW0001468007,1468,2221,Chang Ho Fibre Corp,0,changhofibre,1,Chang-Ho Fibre,Chang-Ho Fibre,CHANG-HO FIBRE,TW:CHO,1999/1/21,691009,T1468,TW0001468007
Phihong Enterprises Co Ltd,2000/1/12,2000/1/12,,2457,3674,Phihong Enterprises Co Ltd,3,ihngenterpri,3,Li Cheng Enterprise,Li Cheng Enterprise,LI CHENG ENTERPRISE,TW:LIR,2006/11/10,31192Q,T4426,TW0004426002
Tong Tai Machine & Tool Co Ltd,2000/8/29,2000/8/29,,4526,3541,Tong Tai Machine & Tool Co Ltd,1,tongtaimachine,1,Tong-Tai Machine and Tool,Tong-Tai Machine and Tool,TONG-TAI MACH.& TOOL,TW:TTT,2000/9/28,265630,T4526,TW0004526009
Jess Link Products Co Ltd,2002/11/12,2002/11/12,TWU00R143000,6197,3643,Jess Link Products Co Ltd,1,jesslinkproduc,1,Jess-Link Products,Jess-Link Products,JESS-LINK PRODUCTS,TW:JLP,2002/12/11,26599W,T6197,TW0006197007
Kings Information Co Ltd,2003/5/30,2003/5/30,TW0006240005,6240,7376,Kings Information Co Ltd,3,ininformatio,3,Asian Information Technology,Asian Information Technology,ASIAN INFO.TECH.,TW:AIT,2002/3/7,15267Q,T6159,TW0006159007
Service&Quality Tech Co Ltd,2004/2/20,2004/2/20,TW0003219002,3219,3674,Service&Quality Tech Co Ltd,3,servicequali,3,Service and Quality Technology,Service and Quality Technology,SERVICE & QUALITY TECH.,TW:S&Q,2004/3/19,28685W,T3219,TW0003219002
Kitai Contractors Inc,2004/9/1,2004/9/1,TW0006402001,6402,1522,Kitai Contractors Inc,3,kitaicontrct,3,Kitai Construction and Development,Kitai Construction and Development,KITAI CON.& DEVELOPMENT,TW:KCI,2001/2/8,256615,T6402,TW0006402001
A-DATA Technology Co Ltd,2004/9/8,2004/9/8,TW0003260006,3260,3674,A-DATA Technology Co Ltd,1,adata,0,Adata Technology,Adata Technology,ADATA TECHNOLOGY,TW:AAA,2004/10/8,29343R,T3260,TW0003260006
Health & Life Co Ltd,2004/11/24,2004/11/24,TW0001781003,1781,3845,Health & Life Co Ltd,1,healthlife,3,Health and Life,Health and Life,HEALTH & LIFE,TW:HLC,2004/12/24,29819K,T1781,TW0001781003
Ability Optoelectronics Tech,2005/8/9,2005/8/9,TW0003362000,3362,3674,Ability Optoelectronics Tech,1,abilityoptoele,1,Ability Opto-Electronics Technology,Ability Opto-Electronics Technology,ABILITY OPTO-ELTN.TECH.,TW:AOT,2005/9/6,30865X,T3362,TW0003362000
